image_name,steering_angle
1.jpg,0.004335221102720017
2.jpg,0.01618262136761527
3.jpg,0.010057499274763352
4.jpg,0.015538529633842623
5.jpg,0.015911472756152154
6.jpg,0.01827727707209861
7.jpg,0.01832691615810401
8.jpg,0.016043627079596178
9.jpg,0.011027969789318148
10.jpg,0.009170573971242026
11.jpg,0.010853196748678087
12.jpg,0.014186353605880747
13.jpg,0.011841592107684045
14.jpg,0.005746535315075337
15.jpg,0.0044633519829887
16.jpg,0.010834337685196883
17.jpg,0.005109569207460659
18.jpg,0.00621216604482625
19.jpg,0.005172379592851042
20.jpg,0.005091461769191251
21.jpg,0.006137009032908336
22.jpg,0.0032211573138138704
23.jpg,0.00011893678434089344
24.jpg,0.0008702007148917349
25.jpg,-0.0019200143322282474
26.jpg,0.0005834860433339122
27.jpg,0.0004077087725904168
28.jpg,-0.0019988450380022914
29.jpg,-0.0013978332052859484
30.jpg,0.0025127261498278835
31.jpg,0.010867345116549278
32.jpg,0.01379507744889933
33.jpg,-0.009289828577404478
34.jpg,-0.012433958338764286
35.jpg,-0.014455420009083161
36.jpg,-0.01649429005345978
37.jpg,-0.011392338594570015
38.jpg,-0.006880376777230209
39.jpg,-0.00526460111709733
40.jpg,0.000628642902514433
41.jpg,0.0030849862639786797
42.jpg,-0.0005150890037183955
43.jpg,0.003327657708593853
44.jpg,0.006862551859332091
45.jpg,0.007409331952417333
46.jpg,0.004039494433544627
47.jpg,0.004759296992139007
48.jpg,0.004451285452364396
49.jpg,0.0018035057178704586
50.jpg,-0.0007443929802989531
51.jpg,-0.0038699831568652504
52.jpg,-0.0009397170988406282
53.jpg,0.0033335122820051582
54.jpg,0.01192368209357969
55.jpg,0.009352138230131932
56.jpg,0.015319354254566011
57.jpg,0.03995570799019303
58.jpg,0.05541627854484557
59.jpg,0.06839585959616551
60.jpg,0.06965228066097479
61.jpg,0.0699982093025444
62.jpg,0.08791942523847011
63.jpg,0.07848440948879415
64.jpg,0.07844169951509676
65.jpg,0.09175080326931591
66.jpg,0.08870028889166776
67.jpg,0.08904000256371478
68.jpg,0.07017694795061763
69.jpg,0.06744484610734612
70.jpg,0.07334114647954174
71.jpg,0.08809821486737644
72.jpg,0.09300253457099975
73.jpg,0.09420648702193474
74.jpg,0.09685925626263989
75.jpg,0.0993988806769841
76.jpg,0.09540413109240779
77.jpg,0.09469433328299041
78.jpg,0.0932193392566871
79.jpg,0.09341837055125526
80.jpg,0.09359617918442022
81.jpg,0.09036101228798808
82.jpg,0.08560689643091632
83.jpg,0.0813358890145095
84.jpg,0.08414277651394196
85.jpg,0.08888127086998983
86.jpg,0.09121561414383098
87.jpg,0.0912945767215316
88.jpg,0.09106706952553409
89.jpg,0.08606251131517668
90.jpg,0.08601215957103162
91.jpg,0.09247596688574228
92.jpg,0.08910211286180897
93.jpg,0.09223156873426556
94.jpg,0.09378404682954147
95.jpg,0.09012823724318021
